RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:24::233,-0.115737,1.167375,0.581955,-0.283524,-0.545406,0.177393,-3.904884,0.270073,1.262613,-2.01556
2025/04/01/ 21:40:24::263,-0.150688,1.311195,0.459765,-0.164553,-0.234842,0.188868,-4.221549,0.384483,1.537072,-2.126764
2025/04/01/ 21:40:24::292,-0.161122,1.487824,0.533318,0.135108,-0.019288,0.164019,-4.07291,0.426707,1.30172,-2.228574
2025/04/01/ 21:40:24::325,-0.157287,1.387434,0.73733,0.195523,0.061211,0.210443,-3.564969,0.187039,1.174196,-2.285671
2025/04/01/ 21:40:24::352,-0.235182,1.150041,0.770369,0.448996,-0.042518,0.197089,-3.012284,-0.097291,0.924295,-2.220946
2025/04/01/ 21:40:24::397,-0.247614,0.805538,0.815136,0.844124,-0.329437,0.218173,-2.203071,-0.304029,0.608193,-2.227823
2025/04/01/ 21:40:24::413,-0.265381,0.601184,0.650693,0.983384,-0.647135,0.142853,-1.568999,-0.398153,0.439978,-2.114842
2025/04/01/ 21:40:24::447,-0.356713,0.829587,0.596653,0.900044,-0.949913,-0.059626,-1.25823,-0.286815,0.047252,-1.903966
2025/04/01/ 21:40:24::474,-0.392928,1.520992,0.594266,0.849556,-1.131689,-0.242679,-1.097354,-0.087006,-0.43441,-1.518971
2025/04/01/ 21:40:24::514,-0.272268,2.305586,0.749266,1.06111,-1.227683,-0.175424,-0.955411,-0.284798,-0.576507,-1.106223
2025/04/01/ 21:40:24::533,-0.207846,3.05522,0.702567,1.363415,-1.407619,-0.109795,-0.958228,-0.526562,-0.74466,-0.710019
2025/04/01/ 21:40:24::563,-0.10082,3.759168,0.746727,1.513027,-1.624174,-0.215367,-1.127288,-0.449796,-0.891264,-0.390664
2025/04/01/ 21:40:24::594,-0.072283,4.185548,0.675524,1.707347,-1.791859,-0.239809,-1.357492,-0.199877,-0.927154,-0.223411
2025/04/01/ 21:40:24::634,-0.074894,4.204067,0.613292,1.587056,-1.968406,-0.12909,-1.465023,-0.020032,-0.441835,-0.112852
2025/04/01/ 21:40:24::653,0.052019,3.675103,0.401516,1.566028,-2.131924,-0.150511,-1.468593,0.397978,-0.210671,-0.02884
2025/04/01/ 21:40:24::685,0.150882,2.669868,0.433415,1.216883,-2.241231,0.012281,-1.362816,0.284048,0.22155,-0.220273
2025/04/01/ 21:40:24::715,0.153925,1.948632,0.339245,0.868259,-2.259646,0.195447,-1.0935,0.06684,0.629285,-0.505573
2025/04/01/ 21:40:24::748,0.269988,1.579784,0.48705,0.450005,-2.014852,0.210659,-1.109014,0.00886,0.494151,-0.947966
2025/04/01/ 21:40:24::773,0.083162,1.399316,0.52408,0.179245,-1.649546,0.080256,-1.282284,-0.099688,0.390426,-1.354147
